zone_id,model,gp_id,x_m,z_m,disp_x_m,disp_z_m,stress_xx_Pa,stress_zz_Pa,stress_xz_Pa,state
1308,softening-ubiquitous,2669,94.85794176,39.825239,-0.3613711935,0.01526657856,-5322780.229,-8017084.118,-594640.1888,0
1308,softening-ubiquitous,2567,89.77336829,51.40470153,-0.3825372002,0.0003193456435,-5322780.229,-8017084.118,-594640.1888,0
1308,softening-ubiquitous,2671,94.83109367,52.75991497,-0.3835995868,0.008327712542,-5322780.229,-8017084.118,-594640.1888,0
1309,softening-ubiquitous,2567,89.77336829,51.40470153,-0.3825372002,0.0003193456435,-5661578.771,-6480506.416,-442262.827,0
1309,softening-ubiquitous,2671,94.83109367,52.75991497,-0.3835995868,0.008327712542,-5661578.771,-6480506.416,-442262.827,0
1309,softening-ubiquitous,2569,89.565566,79.06070364,-0.4171775706,-0.006022412405,-5661578.771,-6480506.416,-442262.827,0
1309,softening-ubiquitous,2673,94.72606294,82.04011794,-0.4207019704,-0.0005236025391,-5661578.771,-6480506.416,-442262.827,0
1310,softening-ubiquitous,2569,89.565566,79.06070364,-0.4171775706,-0.006022412405,-2549637.275,-2549637.275,2549637.724,240
1310,softening-ubiquitous,2673,94.72606294,82.04011794,-0.4207019704,-0.0005236025391,-2549637.275,-2549637.275,2549637.724,240
1310,softening-ubiquitous,2571,89.48013902,88.65482941,-0.06323991334,0.3528145639,-2549637.275,-2549637.275,2549637.724,240
1310,softening-ubiquitous,2675,94.68288509,92.21934622,-0.06825503432,0.35573056,-2549637.275,-2549637.275,2549637.724,240
1311,softening-ubiquitous,2571,89.48013902,88.65482941,-0.06323991334,0.3528145639,-7065816.895,-4427300.036,-1304262.991,0
1311,softening-ubiquitous,2675,94.68288509,92.21934622,-0.06825503432,0.35573056,-7065816.895,-4427300.036,-1304262.991,0
1311,softening-ubiquitous,2573,82.78433515,110.1343351,-0.08084484247,0.3489745505,-7065816.895,-4427300.036,-1304262.991,0
1311,softening-ubiquitous,2677,87.66353927,115.0135393,-0.08502743825,0.3537844026,-7065816.895,-4427300.036,-1304262.991,0
1312,softening-ubiquitous,2573,82.78433515,110.1343351,-0.08084484247,0.3489745505,-5424888.112,-4484226.725,-859162.6926,0
1312,softening-ubiquitous,2677,87.66353927,115.0135393,-0.08502743825,0.3537844026,-5424888.112,-4484226.725,-859162.6926,0
1312,softening-ubiquitous,2575,47.98641038,110.4649009,-0.08033220339,0.3087775625,-5424888.112,-4484226.725,-859162.6926,0
1312,softening-ubiquitous,2679,50.70903154,115.180619,-0.08679354541,0.3124997032,-5424888.112,-4484226.725,-859162.6926,0
1313,softening-ubiquitous,2575,47.98641038,110.4649009,-0.08033220339,0.3087775625,-5092144.703,-4624639.909,-940712.2276,0
1313,softening-ubiquitous,2679,50.70903154,115.180619,-0.08679354541,0.3124997032,-5092144.703,-4624639.909,-940712.2276,0
1313,softening-ubiquitous,2577,22.32625102,110.6727032,-0.08123342679,0.2671716658,-5092144.703,-4624639.909,-940712.2276,0
1313,softening-ubiquitous,2681,23.56228634,115.2856498,-0.08960659157,0.2693663457,-5092144.703,-4624639.909,-940712.2276,0
1314,softening-ubiquitous,2577,22.32625102,110.6727032,-0.08123342679,0.2671716658,-4840309.287,-4474522.584,-732587.3373,0
1314,softening-ubiquitous,2681,23.56228634,115.2856498,-0.08960659157,0.2693663457,-4840309.287,-4474522.584,-732587.3373,0
1314,softening-ubiquitous,2579,9.811009487,110.7435806,-0.08185098615,0.2416061423,-4840309.287,-4474522.584,-732587.3373,0
1314,softening-ubiquitous,2683,10.34958515,115.3214738,-0.0914035684,0.242646323,-4840309.287,-4474522.584,-732587.3373,0
1315,softening-ubiquitous,2579,9.811009487,110.7435806,-0.08185098615,0.2416061423,-4939091.54,-4423316.229,-646334.11,0
1315,softening-ubiquitous,2683,10.34958515,115.3214738,-0.0914035684,0.242646323,-4939091.54,-4423316.229,-646334.11,0
1315,softening-ubiquitous,2581,7.358257116,110.7435806,-0.08191034069,0.2361464626,-4939091.54,-4423316.229,-646334.11,0
1315,softening-ubiquitous,2685,7.762188863,115.3214738,-0.09169716766,0.2369350443,-4939091.54,-4423316.229,-646334.11,0
1316,softening-ubiquitous,2581,7.358257116,110.7435806,-0.08191034069,0.2361464626,-4972622.815,-4413018.346,-625159.9022,0
1316,softening-ubiquitous,2685,7.762188863,115.3214738,-0.09169716766,0.2369350443,-4972622.815,-4413018.346,-625159.9022,0
1316,softening-ubiquitous,2583,4.905504744,110.7435806,-0.08195739584,0.2305577458,-4972622.815,-4413018.346,-625159.9022,0
1316,softening-ubiquitous,2687,5.174792575,115.3214738,-0.0919781891,0.2310679005,-4972622.815,-4413018.346,-625159.9022,0
1317,softening-ubiquitous,2583,4.905504744,110.7435806,-0.08195739584,0.2305577458,-5026497.735,-4415959.214,-616276.5466,0
1317,softening-ubiquitous,2687,5.174792575,115.3214738,-0.0919781891,0.2310679005,-5026497.735,-4415959.214,-616276.5466,0
